YAL033w|440.14.10|901.01.01.01,902.01.01.04.01.01,902.01.09.02|9620854
YAL033w|550.1.154|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL034c|550.1.214|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL035w|550.1.107|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL035w|550.1.116|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL035w|550.1.135|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL035w|550.1.140|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL035w|550.1.86|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL035w|550.1.99|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL035w|550.2.169|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAL035w|550.2.345|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAL035w|550.2.505|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAL035w|550.2.517|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAL035w|550.3.7|901.01.01.01,902.01.01.02.01.01.02,902.01.01.04.01.02,902.01.09.02|14759368
YAL035w|550.3.7|901.01.01.01,902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|14759368
YAL036c|550.1.142|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL036c|550.2.104|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAL038w|380||
YAL040c|133.10||
YAL041w|550.1.5|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL041w|550.1.89|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL042w|260.30.20||
YAL042w|550.1.80|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL043c|440.10.20||10523662
YAL043c|440.10.30||
YAL043c|550.1.125|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL043c|550.1.148|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL043c|550.3.34|901.01.01.01,902.01.01.02.01.01.02,902.01.01.04.01.02,902.01.09.02|14759368
YAL043c|550.3.35|901.01.01.01,902.01.01.02.01.01.02,902.01.01.04.01.02,902.01.09.02|14759368
YAL043c|550.3.36|901.01.01.01,902.01.01.02.01.01.02,902.01.01.04.01.02,902.01.09.02|14759368
YAL043c|550.3.56|901.01.01.01,902.01.01.02.01.01.02,902.01.01.04.01.02,902.01.01.04.01.03,902.01.09.02|14759368
YAL044c|200||
YAL047c|480.10||
YAL047c|550.2.46|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAL048c|550.1.230|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL049c|550.2.441|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAL051w|510.190.100||
YAL053w|550.1.67|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL059w|550.1.171|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAL059w|550.2.385|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAL061w|550.1.120|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAR002c-a|260.30.20||
YAR002c-a|550.1.69|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAR002w|550.1.139|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAR002w|550.2.377|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR003w|550.1.199|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAR003w|550.2.426|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR007c|410.40.20||
YAR007c|550.1.195|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAR007c|550.1.200|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAR007c|550.1.202|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAR007c|550.1.212|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAR007c|550.2.14|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR007c|550.2.293|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR007c|550.2.294|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR008w|440.30.30||
YAR009c|550.2.134|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR014c|550.1.106|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAR014c|550.2.132|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR014c|550.2.147|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR018c|550.1.106|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAR019c|550.2.38|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR019c|550.2.389|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR019c|550.2.390|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR019c|550.2.391|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR019c|550.2.392|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR019c|550.2.79|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR042w|550.1.23|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAR042w|550.1.59|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YAR073w|550.2.304|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR073w|550.2.405|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YAR073w|550.2.447|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|320||
YBL002w|550.1.220|902.01.01.02.01.01.02,902.01.01.04.01.03,902.01.09.02|11805826
YBL002w|550.2.102|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.119|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.141|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.170|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.186|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.22|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.261|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.447|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.474|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.475|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.486|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
YBL002w|550.2.491|902.01.01.02.01.01.02,902.01.01.04.01,902.01.09.02|11805837
